"weight";"lat";"lon"
"70";"50.025";"8.083"
"61";"50.015";"8.073"
"53";"49.945";"7.903"
"51";"50.015";"8.062"
"50";"49.945";"7.893"
"47";"49.945";"7.853"
"44";"50.025";"8.103"
"43";"49.945";"7.943"
"42";"49.885";"7.653"
"41";"50.035";"8.142"
"41";"50.025";"8.093"
"41";"49.945";"7.792"
"40";"50.035";"8.153"
"40";"50.035";"8.122"
"40";"50.035";"7.813"
"40";"49.945";"7.883"
"40";"49.935";"7.912"
"38";"49.955";"7.843"
"37";"49.945";"7.843"
"36";"50.035";"7.843"
"36";"50.015";"8.052"
"36";"49.945";"7.872"
"35";"50.105";"7.693"
"35";"50.015";"7.813"
"35";"49.955";"8.173"
"34";"50.045";"8.173"
"33";"50.045";"8.163"
"33";"50.035";"8.132"
"33";"50.035";"7.803"
"33";"50.035";"7.593"
"33";"49.935";"7.853"
"33";"49.925";"7.863"
"32";"50.035";"7.832"
"32";"50.035";"7.782"
"32";"50.035";"7.773"
"32";"50.035";"7.582"
"32";"49.915";"7.863"
"32";"49.885";"7.673"
"32";"49.885";"7.662"
"32";"49.875";"7.723"
"31";"50.035";"7.572"
"31";"49.885";"7.643"
"30";"50.035";"7.733"
"30";"50.035";"7.603"
"30";"50.035";"7.483"
"30";"50.025";"8.113"
"30";"49.985";"7.943"
"30";"49.945";"7.923"
"30";"49.905";"7.872"
"29";"50.035";"7.633"
"29";"50.035";"7.622"
"29";"50.035";"7.563"
"29";"50.035";"7.473"
"29";"49.945";"7.863"
"29";"49.925";"7.933"
"29";"49.895";"7.883"
"29";"49.895";"7.613"
"29";"49.875";"7.702"
"28";"50.035";"7.763"
"28";"50.035";"7.723"
"28";"50.035";"7.653"
"28";"50.035";"7.643"
"28";"50.025";"7.813"
"28";"49.945";"7.933"
"27";"50.105";"7.712"
"27";"50.065";"8.253"
"27";"50.035";"7.553"
"27";"50.035";"7.542"
"27";"50.035";"7.492"
"27";"50.035";"7.462"
"26";"50.115";"7.702"
"26";"50.105";"7.702"
"26";"50.045";"7.803"
"26";"50.035";"7.712"
"26";"50.035";"7.613"
"26";"49.895";"7.893"
"26";"49.875";"7.742"
"25";"50.055";"8.222"
"25";"50.035";"7.792"
"25";"50.035";"7.742"
"25";"50.035";"7.662"
"25";"49.985";"7.832"
"25";"49.975";"7.832"
"25";"49.965";"7.983"
"25";"49.955";"7.903"
"25";"49.945";"7.773"
"25";"49.935";"7.803"
"25";"49.895";"7.622"
"25";"49.895";"7.582"
"25";"49.865";"7.792"
"24";"49.995";"7.822"
"24";"49.965";"7.903"
"24";"49.905";"7.513"
"23";"50.115";"7.712"
"23";"50.105";"7.683"
"23";"50.035";"7.523"
"23";"49.945";"7.782"
"23";"49.895";"7.603"
"23";"49.885";"7.683"
"23";"49.875";"7.693"
"22";"50.115";"7.723"
"22";"50.065";"8.273"
"22";"50.035";"7.683"
"22";"50.005";"7.822"
"22";"49.975";"7.773"
"22";"49.965";"7.893"
"22";"49.965";"7.843"
"22";"49.915";"7.813"
"21";"50.135";"7.643"
"21";"50.055";"7.803"
"21";"50.035";"7.872"
"21";"50.035";"7.863"
"21";"50.035";"7.513"
"21";"50.015";"7.822"
"21";"49.955";"8.052"
"21";"49.955";"7.832"
"21";"49.945";"8.013"
"21";"49.945";"8.003"
"21";"49.945";"7.912"
"21";"49.945";"7.832"
"21";"49.895";"7.872"
"21";"49.865";"7.813"
"21";"49.855";"7.872"
"21";"49.855";"7.832"
"20";"50.115";"7.813"
"20";"50.115";"7.683"
"20";"50.065";"8.243"
"20";"50.055";"8.213"
"20";"50.035";"7.673"
"20";"50.035";"7.502"
"20";"50.035";"7.452"
"20";"50.005";"7.832"
"20";"49.965";"8.042"
"20";"49.955";"8.103"
"20";"49.955";"8.042"
"20";"49.955";"7.863"
"20";"49.945";"8.083"
"20";"49.935";"7.923"
"20";"49.905";"7.553"
"20";"49.905";"7.542"
"20";"49.895";"7.593"
"20";"49.875";"7.712"
"20";"49.855";"7.843"
"19";"50.115";"7.803"
"19";"50.115";"7.673"
"19";"50.035";"7.883"
"19";"50.035";"7.853"
"19";"50.035";"7.752"
"19";"50.005";"8.032"
"19";"49.985";"7.863"
"19";"49.975";"8.032"
"19";"49.975";"7.992"
"19";"49.965";"8.032"
"19";"49.965";"8.013"
"19";"49.955";"8.062"
"19";"49.885";"7.633"
"19";"49.875";"7.733"
"19";"49.865";"7.803"
"19";"49.865";"7.782"
"19";"49.865";"7.773"
"19";"49.855";"7.822"
"19";"49.845";"7.903"
"18";"50.125";"7.662"
"18";"50.105";"7.723"
"18";"50.035";"7.822"
"18";"50.035";"7.702"
"18";"50.035";"7.693"
"18";"50.035";"7.532"
"18";"50.035";"7.433"
"18";"49.985";"7.853"
"18";"49.975";"7.912"
"18";"49.975";"7.872"
"18";"49.975";"7.763"
"18";"49.975";"7.603"
"18";"49.965";"8.003"
"18";"49.905";"7.822"
"18";"49.875";"7.752"
"17";"50.025";"8.073"
"17";"49.995";"7.843"
"17";"49.995";"7.792"
"17";"49.985";"7.933"
"17";"49.965";"7.813"
"17";"49.955";"7.822"
"17";"49.955";"7.742"
"17";"49.945";"8.023"
"17";"49.945";"7.822"
"17";"49.935";"7.843"
"17";"49.925";"7.893"
"17";"49.905";"7.832"
"17";"49.905";"7.502"
"17";"49.895";"7.843"
"17";"49.895";"7.572"
"17";"49.865";"7.763"
"16";"50.245";"7.452"
"16";"50.135";"7.633"
"16";"50.125";"7.653"
"16";"50.075";"7.702"
"16";"50.015";"8.103"
"16";"49.995";"7.593"
"16";"49.975";"8.023"
"16";"49.975";"7.933"
"16";"49.975";"7.923"
"16";"49.975";"7.653"
"16";"49.975";"7.613"
"16";"49.965";"8.023"
"16";"49.965";"7.832"
"16";"49.965";"7.803"
"16";"49.955";"8.073"
"16";"49.955";"7.893"
"16";"49.945";"8.042"
"16";"49.945";"7.983"
"16";"49.945";"7.763"
"16";"49.945";"7.733"
"16";"49.925";"7.853"
"16";"49.905";"7.863"
"15";"50.205";"7.452"
"15";"50.135";"7.653"
"15";"50.115";"7.832"
"15";"50.045";"7.773"
"15";"50.035";"7.443"
"15";"50.015";"7.763"
"15";"49.985";"8.023"
"15";"49.985";"7.733"
"15";"49.985";"7.633"
"15";"49.965";"7.943"
"15";"49.965";"7.792"
"15";"49.955";"8.113"
"15";"49.945";"7.992"
"15";"49.945";"7.662"
"15";"49.935";"7.962"
"15";"49.935";"7.903"
"15";"49.925";"7.943"
"15";"49.925";"7.923"
"15";"49.925";"7.883"
"15";"49.915";"7.683"
"15";"49.905";"7.903"
"15";"49.905";"7.563"
"15";"49.895";"7.903"
"15";"49.895";"7.863"
"15";"49.855";"7.863"
"15";"49.845";"7.893"
"14";"50.115";"7.822"
"14";"50.115";"7.733"
"14";"50.085";"7.712"
"14";"50.075";"8.283"
"14";"50.075";"7.733"
"14";"50.045";"8.663"
"14";"50.045";"8.652"
"14";"50.025";"7.803"
"14";"50.005";"8.023"
"14";"49.995";"8.083"
"14";"49.985";"7.992"
"14";"49.985";"7.742"
"14";"49.975";"7.782"
"14";"49.975";"7.662"
"14";"49.975";"7.633"
"14";"49.975";"7.553"
"14";"49.955";"7.912"
"14";"49.945";"8.113"
"14";"49.945";"7.973"
"14";"49.945";"7.803"
"14";"49.935";"7.943"
"14";"49.905";"7.523"
"14";"49.885";"7.693"
"13";"50.255";"7.473"
"13";"50.245";"7.433"
"13";"50.235";"7.403"
"13";"50.225";"7.372"
"13";"50.125";"7.673"
"13";"50.115";"7.763"
"13";"50.115";"7.742"
"13";"50.075";"8.293"
"13";"50.065";"7.792"
"13";"50.025";"7.742"
"13";"50.025";"7.462"
"13";"50.015";"8.083"
"13";"50.015";"8.042"
"13";"50.005";"8.013"
"13";"50.005";"7.773"
"13";"49.985";"7.723"
"13";"49.985";"7.593"
"13";"49.975";"7.943"
"13";"49.975";"7.673"
"13";"49.975";"7.643"
"13";"49.965";"7.853"
"13";"49.965";"7.822"
"13";"49.965";"7.702"
"13";"49.965";"7.693"
"13";"49.955";"8.183"
"13";"49.955";"8.032"
"13";"49.945";"8.103"
"13";"49.945";"8.093"
"13";"49.945";"7.752"
"13";"49.935";"7.952"
"13";"49.935";"7.863"
"13";"49.935";"7.832"
"13";"49.925";"7.872"
"13";"49.925";"7.813"
"13";"49.925";"7.763"
"13";"49.915";"7.893"
"13";"49.855";"7.853"
"12";"50.205";"7.433"
"12";"50.125";"7.683"
"12";"50.115";"7.843"
"12";"50.065";"7.742"
"12";"50.045";"8.633"
"12";"50.045";"7.752"
"12";"50.045";"7.582"
"12";"50.035";"8.113"
"12";"50.025";"7.752"
"12";"50.015";"7.643"
"12";"50.005";"8.073"
"12";"50.005";"8.042"
"12";"49.995";"7.723"
"12";"49.995";"7.582"
"12";"49.985";"8.032"
"12";"49.985";"7.622"
"12";"49.985";"7.613"
"12";"49.985";"7.542"
"12";"49.975";"7.983"
"12";"49.965";"8.093"
"12";"49.965";"7.683"
"12";"49.965";"7.653"
"12";"49.965";"7.643"
"12";"49.955";"7.943"
"12";"49.945";"8.073"
"12";"49.945";"7.952"
"12";"49.945";"7.813"
"12";"49.935";"8.052"
"12";"49.935";"8.042"
"12";"49.935";"7.893"
"12";"49.935";"7.883"
"12";"49.915";"7.492"
"12";"49.915";"7.462"
"12";"49.905";"7.593"
"12";"49.905";"7.532"
"12";"49.895";"7.633"
"12";"49.885";"7.923"
"12";"49.855";"7.883"
"12";"49.835";"7.853"
"11";"50.405";"7.223"
"11";"50.245";"7.443"
"11";"50.235";"7.423"
"11";"50.205";"7.462"
"11";"50.165";"8.403"
"11";"50.135";"7.622"
"11";"50.125";"7.643"
"11";"50.115";"7.693"
"11";"50.115";"7.662"
"11";"50.075";"7.792"
"11";"50.065";"7.513"
"11";"50.055";"7.763"
"11";"50.045";"8.642"
"11";"50.045";"8.603"
"11";"50.045";"7.872"
"11";"50.045";"7.863"
"11";"50.045";"7.822"
"11";"50.045";"7.572"
"11";"50.035";"7.893"
"11";"50.025";"7.572"
"11";"50.025";"7.502"
"11";"50.025";"7.443"
"11";"50.015";"8.032"
"11";"50.015";"7.773"
"11";"50.015";"7.622"
